"St","Name","Version","Arch","Description","Licenses"
"ii","libcupsfilters-dev:amd64","1.27.4-1","amd64","OpenPrinting CUPS Filters - Development files for the library","BSD-4-clause Expat GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL-2 LGPL-2.1+"
"ii","libcupsfilters1:amd64","1.27.4-1","amd64","OpenPrinting CUPS Filters - Shared library","BSD-4-clause Expat GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL-2 LGPL-2.1+"
"ii","libcupsimage2:amd64","2.3.1-9ubuntu1.1","amd64","Common UNIX Printing System(tm) - Raster image library","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","libcupsimage2-dev:amd64","2.3.1-9ubuntu1.1","amd64","Common UNIX Printing System(tm) - Development files CUPS image library","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","libcurl3-gnutls:amd64","7.68.0-1ubuntu2.4","amd64","easy-to-use client-side URL transfer library (GnuTLS flavour)","BSD-3-Clause BSD-4-Clause ISC curl other public-domain"
"ii","libcurl3-gnutls:i386","7.68.0-1ubuntu2.4","i386","easy-to-use client-side URL transfer library (GnuTLS flavour)","BSD-3-Clause BSD-4-Clause ISC curl other public-domain"
"ii","libcurl4:amd64","7.68.0-1ubuntu2.4","amd64","easy-to-use client-side URL transfer library (OpenSSL flavour)","BSD-3-Clause BSD-4-Clause ISC curl other public-domain"
"ii","libcvc-dbg:amd64","4.6.4+ulyana","amd64","Cinnamon pulseaudio abstraction library - debug symbols","GPL GPL-2+ LGPL-2+ LGPL-2.1+ MIT/X11"
"ii","libcvc0:amd64","4.6.4+ulyana","amd64","Cinnamon pulseaudio abstraction library","GPL GPL-2+ LGPL-2+ LGPL-2.1+ MIT/X11"
"ii","libcwidget4:amd64","0.5.18-5build1","amd64","high-level terminal interface library for C++ (runtime files)","GPL-2+"
"ii","libdaemon0:amd64","0.14-7","amd64","lightweight C library for daemons - runtime library","GPL-2 LGPL"
"ii","libdata-dump-perl","1.23-1","all","Perl module to help dump data structures","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdata-optlist-perl","0.110-1","all","module to parse and validate simple name/value option pairs","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdata-perl-perl","0.002011-1","all","classes wrapping fundamental Perl data types","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdata-random-perl","0.13-1","all","Perl module to generate random data","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdata-section-perl","0.200007-1","all","module to read chunks of data from a module's DATA section","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdate-manip-perl","6.79-1","all","module for manipulating dates","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdatrie-dev:amd64","0.2.12-3","amd64","Development files for double-array trie library","GPL-2+ LGPL-2.1+"
"ii","libdatrie1:amd64","0.2.12-3","amd64","Double-array trie library","GPL-2+ LGPL-2.1+"
"ii","libdatrie1:i386","0.2.12-3","i386","Double-array trie library","GPL-2+ LGPL-2.1+"
"ii","libdazzle-1.0-0:amd64","3.36.0-1","amd64","feature-filled library for GTK+ and GObject","GPL-2+ GPL-3+ GPL-3+ or LGPL-2.1+ LGPL-2.1+ LGPL-3+"
"ii","libdb5.3:amd64","5.3.28+dfsg1-0.6ubuntu2","amd64","Berkeley v5.3 Database Libraries [runtime]","See project repository"
"ii","libdb5.3:i386","5.3.28+dfsg1-0.6ubuntu2","i386","Berkeley v5.3 Database Libraries [runtime]","See project repository"
"ii","libdbd-pg-perl","3.10.4-1","amd64","Perl DBI driver for the PostgreSQL database server","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdbi-perl:amd64","1.643-1","amd64","Perl Database Interface (DBI)","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdbus-1-3:amd64","1.12.16-2ubuntu2.1","amd64","simple interprocess messaging system (library)","AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish g10-permissive"
"ii","libdbus-1-3:i386","1.12.16-2ubuntu2.1","i386","simple interprocess messaging system (library)","AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish g10-permissive"
"ii","libdbus-1-dev:amd64","1.12.16-2ubuntu2.1","amd64","simple interprocess messaging system (development headers)","AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish g10-permissive"
"ii","libdbus-glib-1-2:amd64","0.110-5fakssync1","amd64","deprecated library for D-Bus IPC","AFL-2.1 Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1 or Expat"
"ii","libdbusmenu-glib4:amd64","16.04.1+18.10.20180917-0ubuntu6","amd64","library for passing menus over DBus","GPL-3 LGPL-2.1 LGPL-3"
"ii","libdbusmenu-gtk3-4:amd64","16.04.1+18.10.20180917-0ubuntu6","amd64","library for passing menus over DBus - GTK+ version","GPL-3 LGPL-2.1 LGPL-3"
"ii","libdbusmenu-gtk4:amd64","16.04.1+18.10.20180917-0ubuntu6","amd64","library for passing menus over DBus - GTK+ version","GPL-3 LGPL-2.1 LGPL-3"
"ii","libdbusmenu-qt5-2:amd64","0.9.3+16.04.20160218-2build1","amd64","Qt implementation of the DBusMenu protocol","LGPL-2+ LGPL-2.1) LGPL-3 or LGPL-2.1 or (LGPL-3"
"ii","libdc1394-22:amd64","2.2.5-2.1","amd64","high level programming interface for IEEE 1394 digital cameras","GPL-2 LGPL-2.1"
"ii","libdca0:amd64","0.0.6-1","amd64","decoding library for DTS Coherent Acoustics streams","GPL-2+ LGPL-2+"
"ii","libdconf1:amd64","0.36.0-1","amd64","simple configuration storage system - runtime library","GPL-3 LGPL-2+"
"ii","libde265-0:amd64","1.0.4-1build1","amd64","Open H.265 video codec implementation","BSD-4-clause GPL-3+ LGPL-3+ other-1 public-domain-1 public-domain-2"
"ii","libdebconfclient0:amd64","0.251ubuntu1","amd64","Debian Configuration Management System (C-implementation library)","public domain"
"ii","libdebhelper-perl","12.10ubuntu1","all","debhelper perl modules","BSD-3-clause GPL-2+ GPL-3+ public-domain"
"ii","libdebian-installer4:amd64","0.110ubuntu3","amd64","Library of common debian-installer functions","GPL-2"
"ii","libdee-1.0-4:amd64","1.2.7+17.10.20170616-4ubuntu6","amd64","Model to synchronize multiple instances over DBus - shared lib","GPL-3 LGPL-3"
"ii","libdevel-callchecker-perl","0.008-1ubuntu1","amd64","custom op checking attached to subroutines","Artistic Artistic or GPL-1+ GPL-1+ GPL-3+"
"ii","libdevel-size-perl","0.83-1build1","amd64","Perl extension for finding the memory usage of Perl variables","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdevmapper-event1.02.1:amd64","2:1.02.167-1ubuntu1","amd64","Linux Kernel Device Mapper event support library","BSD-2-Clause GPL-2.0 GPL-2.0+ LGPL-2.1"
"ii","libdevmapper1.02.1:amd64","2:1.02.167-1ubuntu1","amd64","Linux Kernel Device Mapper userspace library","BSD-2-Clause GPL-2.0 GPL-2.0+ LGPL-2.1"
"ii","libdigest-hmac-perl","1.03+dfsg-2","all","module for creating standard message integrity checks","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libdistro-info-perl","0.23ubuntu1","all","information about distributions' releases (Perl module)","ISC"
"ii","libdjvulibre-text","3.5.27.1-14build1","all","Linguistic support files for libdjvulibre","GPL-2"
"ii","libdjvulibre21:amd64","3.5.27.1-14build1","amd64","Runtime support for the DjVu image format","GPL-2"
"ii","libdmapsharing-3.0-2:amd64","2.9.39-6","amd64","DMAP client and server library - runtime","LGPL-2.1"
"ii","libdmraid1.0.0.rc16","1.0.0.rc16-8ubuntu3","amd64","Device-Mapper Software RAID support tool - shared library","GPL LGPL"
"ii","libdns-export1109","1:9.11.16+dfsg-3~ubuntu1","amd64","Exported DNS Shared Library","BSD-2-clause BSD-3-clause ISC ISC or MPL-2.0 MPL-2.0"
"ii","libdotconf0:amd64","1.3-0.3fakesync1","amd64","Configuration file parser library - runtime files","Apache-1.1 LGPL-2.1"
"ii","libdouble-conversion3:amd64","3.1.5-4ubuntu1","amd64","routines to convert IEEE floats to and from strings","BSD-3-clause"
"ii","libdpkg-perl","1.19.7ubuntu3","all","Dpkg perl modules","BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d"
"ii","libdrm-amdgpu1:amd64","2.4.102-1ubuntu1~20.04.1","amd64","Userspace interface to amdgpu-specific kernel DRM services -- runtime","See project repository"
"ii","libdrm-amdgpu1:i386","2.4.102-1ubuntu1~20.04.1","i386","Userspace interface to amdgpu-specific kernel DRM services -- runtime","See project repository"
"ii","libdrm-common","2.4.102-1ubuntu1~20.04.1","all","Userspace interface to kernel DRM services -- common files","See project repository"
"ii","libdrm-intel1:amd64","2.4.102-1ubuntu1~20.04.1","amd64","Userspace interface to intel-specific kernel DRM services -- runtime","See project repository"
"ii","libdrm-intel1:i386","2.4.102-1ubuntu1~20.04.1","i386","Userspace interface to intel-specific kernel DRM services -- runtime","See project repository"
"ii","libdrm-nouveau2:amd64","2.4.102-1ubuntu1~20.04.1","amd64","Userspace interface to nouveau-specific kernel DRM services -- runtime","See project repository"
"ii","libdrm-nouveau2:i386","2.4.102-1ubuntu1~20.04.1","i386","Userspace interface to nouveau-specific kernel DRM services -- runtime","See project repository"
"ii","libdrm-radeon1:amd64","2.4.102-1ubuntu1~20.04.1","amd64","Userspace interface to radeon-specific kernel DRM services -- runtime","See project repository"
"ii","libdrm-radeon1:i386","2.4.102-1ubuntu1~20.04.1","i386","Userspace interface to radeon-specific kernel DRM services -- runtime","See project repository"
"ii","libdrm2:amd64","2.4.102-1ubuntu1~20.04.1","amd64","Userspace interface to kernel DRM services -- runtime","See project repository"
"ii","libdrm2:i386","2.4.102-1ubuntu1~20.04.1","i386","Userspace interface to kernel DRM services -- runtime","See project repository"
"ii","libdv4:amd64","1.0.0-12","amd64","software library for DV format digital video (runtime lib)","GPL-2+ LGPL-2.1+"
"ii","libdv4:i386","1.0.0-12","i386","software library for DV format digital video (runtime lib)","GPL-2+ LGPL-2.1+"
"ii","libdvbpsi10:amd64","1.3.3-1","amd64","library for MPEG TS and DVB PSI tables decoding and generating","GPL-2+ LGPL-2.1+"
"ii","libdvdcss2:amd64","1.4.2-dmo1","amd64","Simple foundation for reading DVDs - runtime libraries","GPL"
"ii","libdvdnav4:amd64","6.0.1-1build1","amd64","DVD navigation library","GPL-2+ LGPL-2+"
"ii","libdvdread7:amd64","6.1.0+really6.0.2-1","amd64","library for reading DVDs","GPL-2 GPL-2+ LGPL-2.1+"
"ii","libdw1:amd64","0.176-1.1build1","amd64","library that provides access to the DWARF debug information","GPL-2 GPL-3 LGPL"
"ii","libdynaloader-functions-perl","0.003-1","all","deconstructed dynamic C library loading","Artistic Artistic or GPL-1+ GPL-1+ GPL-3+"
"ii","libe-book-0.1-1:amd64","0.1.3-1build3","amd64","library for reading and converting various  e-book formats","MPL-2.0"
"ii","libebackend-1.2-10:amd64","3.36.4-0ubuntu1","amd64","Utility library for evolution data servers","LGPL-2 LGPL-2.1"
"ii","libebml4v5:amd64","1.3.10-1build1","amd64","access library for the EBML format (shared library)","GPL-2+ LGPL-2.1"
"ii","libebook-1.2-20:amd64","3.36.4-0ubuntu1","amd64","Client library for evolution address books","LGPL-2 LGPL-2.1"
"ii","libebook-contacts-1.2-3:amd64","3.36.4-0ubuntu1","amd64","Client library for evolution contacts books","LGPL-2 LGPL-2.1"
"ii","libebur128-1:amd64","1.2.4-2","amd64","implementation of the EBU R128 loudness standard","BSD-3-clause Expat"
"ii","libecal-2.0-1:amd64","3.36.4-0ubuntu1","amd64","Client library for evolution calendars","LGPL-2 LGPL-2.1"
"ii","libecryptfs1","111-0ubuntu7","amd64","ecryptfs cryptographic filesystem (library)","GPL-2"
"ii","libedata-book-1.2-26:amd64","3.36.4-0ubuntu1","amd64","Backend library for evolution address books","LGPL-2 LGPL-2.1"
"ii","libedata-cal-2.0-1:amd64","3.36.4-0ubuntu1","amd64","Backend library for evolution calendars","LGPL-2 LGPL-2.1"
"ii","libedataserver-1.2-24:amd64","3.36.4-0ubuntu1","amd64","Utility library for evolution data servers","LGPL-2 LGPL-2.1"
"ii","libedataserverui-1.2-2:amd64","3.36.4-0ubuntu1","amd64","Utility library for evolution data servers","LGPL-2 LGPL-2.1"
"ii","libedit2:amd64","3.1-20191231-1","amd64","BSD editline and history libraries","BSD-3-clause"
"ii","libedit2:i386","3.1-20191231-1","i386","BSD editline and history libraries","BSD-3-clause"
"ii","libefiboot1:amd64","37-2ubuntu2.2","amd64","Library to manage UEFI variables","GPL-2.0+ LGPL-2.0+"
"ii","libefivar1:amd64","37-2ubuntu2.2","amd64","Library to manage UEFI variables","GPL-2.0+ LGPL-2.0+"
"ii","libegl-dev:amd64","1.3.2-1~ubuntu0.20.04.1","amd64","Vendor neutral GL dispatch library -- EGL development files","	Apache-2.0 	BSD-1-clause 	GPL 	GPL-3+ 	MIT 	public-domain Apache-2.0 BSD-1-clause GPL GPL-3+ MIT"
"ii","libegl-mesa0:amd64","20.2.6-0ubuntu0.20.04.1","amd64","free implementation of the EGL API -- Mesa vendor library","Apache-2.0 BSD-2-clause BSD-3-google BSL GPL Khronos MIT MLAA SGI"
"ii","libegl1:amd64","1.3.2-1~ubuntu0.20.04.1","amd64","Vendor neutral GL dispatch library -- EGL support","	Apache-2.0 	BSD-1-clause 	GPL 	GPL-3+ 	MIT 	public-domain Apache-2.0 BSD-1-clause GPL GPL-3+ MIT"
"ii","libegl1-mesa:amd64","20.0.8-0ubuntu1~20.04.1","amd64","transitional dummy package","Apache-2.0 BSD-2-clause BSD-3-google BSL GPL Khronos MIT MLAA SGI"
"ii","libegl1-mesa-dev:amd64","20.2.6-0ubuntu0.20.04.1","amd64","free implementation of the EGL API -- development files","Apache-2.0 BSD-2-clause BSD-3-google BSL GPL Khronos MIT MLAA SGI"
"ii","libel-api-java","3.0.0-2","all","Expression Language API","Apache-2.0 CDDL-1.1 CDDL-1.1 or GPL-2 with Classpath exception GPL-2 with Classpath exception"
"ii","libelf1:amd64","0.176-1.1build1","amd64","library to read and write ELF files","GPL-2 GPL-3 LGPL"
"ii","libelf1:i386","0.176-1.1build1","i386","library to read and write ELF files","GPL-2 GPL-3 LGPL"
"ii","libemail-valid-perl","1.202-1","all","Perl module for checking the validity of Internet email addresses","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libenchant-2-2:amd64","2.2.8-1ubuntu0.20.04.1","amd64","Wrapper library for various spell checker engines (runtime libs)","Expat FSFAP GPL-2.0+ GPL-3.0+ LGPL-2.0+ LGPL-2.1+ LGPL-3.0+"
"ii","libenchant1c2a:amd64","1.6.0-11.3build1","amd64","Wrapper library for various spell checker engines (runtime libs)","LGPL-2.1"
"ii","libencode-locale-perl","1.05-1","all","utility to determine the locale encoding","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libencode-perl:amd64","3.02-1","amd64","module providing interfaces between Perl's strings and the system","Artistic Artistic or GPL-1+ GPL-1+ Unicode-Data-License"
"ii","libeot0:amd64","0.01-5","amd64","Library for parsing/converting Embedded OpenType files","GPL-2+ MPL-2.0 other"
"ii","libepoxy-dev:amd64","1.5.4-1","amd64","OpenGL function pointer management library- development","Expat"
"ii","libepoxy0:amd64","1.5.4-1","amd64","OpenGL function pointer management library","Expat"
"ii","libept1.6.0:amd64","1.1+nmu3ubuntu3","amd64","High-level library for managing Debian package information","GPL"
"ii","libepub0","0.2.2-4ubuntu2","amd64","library to work with the EPUB file format - runtime library","GPL-2 GPL-3"
"ii","libepubgen-0.1-1:amd64","0.1.1-1ubuntu2","amd64","EPUB generator library","MPL-2.0 other"
"ii","liberror-perl","0.17029-1","all","Perl module for error/exception handling in an OO-ish way","Artistic Artistic or GPL-1+ GPL-1+ MIT/X11"
"ii","libespeak-ng1:amd64","1.50+dfsg-6","amd64","Multi-lingual software speech synthesizer: shared library","GPL-3"
"ii","libestr0:amd64","0.1.10-2.1","amd64","Helper functions for handling strings (lib)","LGPL-2.1"
"ii","libetonyek-0.1-1:amd64","0.1.9-3","amd64","library for reading and converting Apple Keynote presentations","MPL 2.0"
"ii","libevdev2:amd64","1.9.0+dfsg-1ubuntu0.1","amd64","wrapper library for evdev devices","Apache-2.0 BSD-3 GPL-2 GPL-2+ MIT X11"
"ii","libevemu3:amd64","2.7.0-2","amd64","Linux Input Event Device Emulation Library","GPL-3 LGPL-3"
"ii","libevent-2.1-7:amd64","2.1.11-stable-1","amd64","Asynchronous event notification library","BSD-2-clause BSD-3-Clause~Kitware BSD-3-clause BSL Expat FSFUL FSFULLR FSFULLR-No-Warranty GPL-2+ GPL-3+ ISC curl"
"ii","libevent-core-2.1-7:amd64","2.1.11-stable-1","amd64","Asynchronous event notification library (core)","BSD-2-clause BSD-3-Clause~Kitware BSD-3-clause BSL Expat FSFUL FSFULLR FSFULLR-No-Warranty GPL-2+ GPL-3+ ISC curl"
"ii","libevent-pthreads-2.1-7:amd64","2.1.11-stable-1","amd64","Asynchronous event notification library (pthreads)","BSD-2-clause BSD-3-Clause~Kitware BSD-3-clause BSL Expat FSFUL FSFULLR FSFULLR-No-Warranty GPL-2+ GPL-3+ ISC curl"
"ii","libexempi8:amd64","2.5.1-1build1","amd64","library to parse XMP metadata (Library)","BSD-like license"
"ii","libexif12:amd64","0.6.21-6ubuntu0.4","amd64","library to parse EXIF files","BSD-2-Clause GPL-2+ LGPL-2.1+"
"ii","libexif12:i386","0.6.21-6ubuntu0.4","i386","library to parse EXIF files","BSD-2-Clause GPL-2+ LGPL-2.1+"
"ii","libexiv2-27:amd64","0.27.2-8ubuntu2","amd64","EXIF/IPTC/XMP metadata manipulation library","GPL GPL-2"
"ii","libexpat1:amd64","2.2.9-1build1","amd64","XML parsing C library - runtime library","MIT"
"ii","libexpat1:i386","2.2.9-1build1","i386","XML parsing C library - runtime library","MIT"
"ii","libexpat1-dev:amd64","2.2.9-1build1","amd64","XML parsing C library - development kit","MIT"
"ii","libexpect-perl","1.21-1","all","Expect.pm - Perl Expect interface","Artistic"
"ii","libexporter-tiny-perl","1.002001-1","all","tiny exporter similar to Sub::Exporter","Artistic Artistic or GPL-1+ GPL-1+ GPL-3+"
"ii","libext2fs2:amd64","1.45.5-2ubuntu1","amd64","ext2/ext3/ext4 file system libraries","GPL-2 LGPL-2"
"ii","libexttextcat-2.0-0:amd64","3.4.5-1","amd64","Language detection library","See project repository"
"ii","libexttextcat-data","3.4.5-1","all","Language detection library - data files","See project repository"
"ii","libextutils-depends-perl","0.8000-1","all","Perl module for building extensions that depend on other extensions","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libextutils-pkgconfig-perl","1.16-1","all","Perl interface to the pkg-config utility","LGPL"
"ii","libfaad2:amd64","2.9.1-1","amd64","freeware Advanced Audio Decoder - runtime files","GPL-2+ GPL-3+"
"ii","libfakeroot:amd64","1.24-1","amd64","tool for simulating superuser privileges - shared libraries","Artistic GPL-3"
"ii","libfam0:amd64","2.7.0-17.3build2","amd64","Client library to control the FAM daemon","GPL-2 LGPL-2.1"
"ii","libfastjson4:amd64","0.99.8-2","amd64","fast json library for C","Apache-2.0 Expat"
"ii","libfaudio0:amd64","20.04-2","amd64","XAudio sound processing reimplementation - library","MIT Zlib"
"ii","libfaudio0:i386","20.04-2","i386","XAudio sound processing reimplementation - library","MIT Zlib"
"ii","libfcgi-perl","0.79-1","amd64","helper module for FastCGI","PD other"
"ii","libfdisk1:amd64","2.34-0.1ubuntu9.1","amd64","fdisk partitioning library","BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain"
"ii","libffi-dev:amd64","3.3-4","amd64","Foreign Function Interface library (development files)","GPL"
"ii","libffi7:amd64","3.3-4","amd64","Foreign Function Interface library runtime","GPL"
"ii","libffi7:i386","3.3-4","i386","Foreign Function Interface library runtime","GPL"
"ii","libffmpegthumbnailer4v5","2.1.1-0.2build2","amd64","shared library for ffmpegthumbnailer","GPL-2"
"ii","libfftw3-double3:amd64","3.3.8-2ubuntu1","amd64","Library for computing Fast Fourier Transforms - Double precision","GPL-2"
"ii","libfftw3-single3:amd64","3.3.8-2ubuntu1","amd64","Library for computing Fast Fourier Transforms - Single precision","GPL-2"
"ii","libfido2-1:amd64","1.3.1-1ubuntu2","amd64","library for generating and verifying FIDO 2.0 objects","BSD-2-clause ISC public-domain"
"ii","libfile-basedir-perl","0.08-1","all","Perl module to use the freedesktop basedir specification","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libfile-chdir-perl","0.1008-1","all","more sensible way to change directories","Artistic GPL"
"ii","libfile-copy-recursive-perl","0.45-1","all","Perl extension for recursively copying files and directories","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libfile-desktopentry-perl","0.22-1","all","Perl module to handle freedesktop .desktop files","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libfile-fcntllock-perl","0.22-3build4","amd64","Perl module for file locking with fcntl(2)","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libfile-find-rule-perl","0.34-1","all","module to search for files based on rules","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libfile-homedir-perl","1.004-1","all","Perl module for finding user directories across platforms","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libfile-listing-perl","6.04-1","all","module to parse directory listings","Artistic GPL-1"
"ii","libfile-mimeinfo-perl","0.29-1","all","Perl module to determine file types","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libfile-pushd-perl","1.016-1","all","module for changing directory temporarily for a limited scope","Apache-2.0 other"
"ii","libfile-slurp-perl","9999.29-1","all","single call read & write file routines","Artistic GPL"
"ii","libfile-stripnondeterminism-perl","1.7.0-1","all","file non-deterministic information stripper — Perl module","GPL-3+"
"ii","libfile-which-perl","1.23-1","all","Perl module for searching paths for executable programs","Artistic GPL-1+ GPL-1+ or Artistic"
"ii","libfilezilla0","0.19.3-1build1","amd64","build high-performing platform-independent programs (runtime lib)","GPL-2+"
"ii","libfinance-yahooquote-perl","0.25","all","Perl module for retrieving stock quotes from Yahoo! Finance","GPL-2"
"ii","libfl2:amd64","2.6.4-6.2","amd64","SHARED library for flex (a fast lexical analyzer generator)","FLEX FSFAP GPL GPL-2+ GPL-3+ LGPL-2+"
"ii","libflac8:amd64","1.3.3-1build1","amd64","Free Lossless Audio Codec - runtime C library","BSD-3-clause GFDL-1.1+ GPL-2+ GPL-2+ or LGPL-2.1+ ISC LGPL-2+ LGPL-2.1+ Public-domain"
"ii","libflac8:i386","1.3.3-1build1","i386","Free Lossless Audio Codec - runtime C library","BSD-3-clause GFDL-1.1+ GPL-2+ GPL-2+ or LGPL-2.1+ ISC LGPL-2+ LGPL-2.1+ Public-domain"
"ii","libflatpak0:amd64","1.6.5-0ubuntu0.1","amd64","Application deployment framework for desktop apps (library)","Autoconf-permissive GPL-2+ with Autoconf exception LGPL-2+ LGPL-2.1+ bzip2-1.0.6"
"ii","libflite1:amd64","2.1-release-3","amd64","Small run-time speech synthesis engine - shared libraries","GPL-2 GPL-3"
"ii","libfluidsynth2:amd64","2.1.1-2","amd64","Real-time MIDI software synthesizer (runtime library)","CC-BY-SA-3.0 LGPL-2+ LGPL-2.1+ MIT/X11 Public-domain"
"ii","libfont-afm-perl","1.20-2","all","Font::AFM - Interface to Adobe Font Metrics files","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libfont-ttf-perl","1.06-1","all","Perl module for TrueType font hacking","Artistic-2.0 other"
"ii","libfontconfig1:amd64","2.13.1-2ubuntu3","amd64","generic font configuration library - runtime","See project repository"
"ii","libfontconfig1:i386","2.13.1-2ubuntu3","i386","generic font configuration library - runtime","See project repository"
"ii","libfontconfig1-dev:amd64","2.13.1-2ubuntu3","amd64","generic font configuration library - development","See project repository"
"ii","libfontembed1:amd64","1.27.4-1","amd64","OpenPrinting CUPS Filters - Font Embed Shared library","BSD-4-clause Expat GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL-2 LGPL-2.1+"
"ii","libfontenc1:amd64","1:1.1.4-0ubuntu1","amd64","X11 font encoding library","See project repository"
"ii","libfprint-2-2:amd64","1:1.90.2+tod1-0ubuntu1~20.04.2","amd64","async fingerprint library of fprint project, shared libraries","LGPL-2.1"
"ii","libfprint-2-tod1:amd64","1:1.90.2+tod1-0ubuntu1~20.04.2","amd64","async fingerprint library of fprint project, drivers shared libraries","LGPL-2.1"
"ii","libfreehand-0.1-1","0.1.2-2ubuntu1","amd64","Library for parsing the FreeHand file format structure","MPL-1.1 | GPL-3+ | LGPL-3+ MPL-2.0"
"ii","libfreerdp-client2-2:amd64","2.2.0+git202007201338-0+remmina202007310643.rd2ba84a.dfabe85c~ubuntu20.04.1","amd64","Free Remote Desktop Protocol library (client library)","Apache-2.0 Apache-2.0 or BSD-2-clause or BSD-3-clause or ISC or UNICODE or X11 or zlib/libpng or public-domain BOOST-1.0 BSD-2-clause BSD-3-clause Expat FMILIB ISC UNICODE X11 public-domain zlib/libpng"
"ii","libfreerdp2-2:amd64","2.2.0+git202007201338-0+remmina202007310643.rd2ba84a.dfabe85c~ubuntu20.04.1","amd64","Free Remote Desktop Protocol library (core library)","Apache-2.0 Apache-2.0 or BSD-2-clause or BSD-3-clause or ISC or UNICODE or X11 or zlib/libpng or public-domain BOOST-1.0 BSD-2-clause BSD-3-clause Expat FMILIB ISC UNICODE X11 public-domain zlib/libpng"
"ii","libfreetype-dev:amd64","2.10.1-2ubuntu0.1","amd64","FreeType 2 font engine, development files","Apache-2.0 BSD-3-Clause FSFUL FSFULLR FTL GPL-2+ GPL-2+ or FTL GPL-3+ MIT MIT or GPL-2+ MPL-1.1 OFL-1.1 OpenGroup-BSD-like Permissive Public-Domain Zlib"
"ii","libfreetype6:amd64","2.10.1-2ubuntu0.1","amd64","FreeType 2 font engine, shared library files","Apache-2.0 BSD-3-Clause FSFUL FSFULLR FTL GPL-2+ GPL-2+ or FTL GPL-3+ MIT MIT or GPL-2+ MPL-1.1 OFL-1.1 OpenGroup-BSD-like Permissive Public-Domain Zlib"
"ii","libfreetype6:i386","2.10.1-2ubuntu0.1","i386","FreeType 2 font engine, shared library files","Apache-2.0 BSD-3-Clause FSFUL FSFULLR FTL GPL-2+ GPL-2+ or FTL GPL-3+ MIT MIT or GPL-2+ MPL-1.1 OFL-1.1 OpenGroup-BSD-like Permissive Public-Domain Zlib"
"ii","libfreetype6-dev:amd64","2.10.1-2ubuntu0.1","amd64","FreeType 2 font engine, development files (transitional package)","Apache-2.0 BSD-3-Clause FSFUL FSFULLR FTL GPL-2+ GPL-2+ or FTL GPL-3+ MIT MIT or GPL-2+ MPL-1.1 OFL-1.1 OpenGroup-BSD-like Permissive Public-Domain Zlib"
"ii","libfribidi-dev:amd64","1.0.8-2","amd64","Development files for FreeBidi library","LGPL-2.1+"
"ii","libfribidi0:amd64","1.0.8-2","amd64","Free Implementation of the Unicode BiDi algorithm","LGPL-2.1+"
"ii","libfribidi0:i386","1.0.8-2","i386","Free Implementation of the Unicode BiDi algorithm","LGPL-2.1+"
"ii","libfstrcmp0","0.7.D001-1.1build1","amd64","fuzzy string compare library - runtime library","GPL-3+ LGPL-3+ UNKNOWN"
"ii","libftdi1-2:amd64","1.4-2build2","amd64","Library to control and program the FTDI USB controllers","GPL-2 LGPL-2"
